activo,mes,media_diaria,volatilidad_diaria,media_anualizada,volatilidad_anualizada,precio_cierre_anchor
MSTR,Ene,-0.03906213389315427,0.04080261592853209,-9.843657741074876,0.6477214475266724,48.21
MSTR,Feb,0.017326832061747868,0.058472625902867316,4.3663616795604625,0.9282241598634033,71.8
MSTR,Mar,0.04546232403423707,0.09660701900075074,11.456505656627742,1.5335888830756685,178.24
MSTR,Abr,-0.006196042773897263,0.07775410198874914,-1.5614027790221103,1.2343081036642978,133.59
MSTR,May,0.008640822915986541,0.07382926168089009,2.1774873748286083,1.1720031953228742,150.35
MSTR,Jun,0.0018908742749978113,0.05078885220157919,0.4765003172994484,0.8062480337987632,149.55
MSTR,Jul,0.0037067408757244357,0.05519408281390408,0.9340987006825578,0.8761789018073659,161.13
MSTR,Ago,-0.008887272539264114,0.05957590063175563,-2.2395926798945567,0.9457381032259274,131.93
MSTR,Sep,-0.0003198312401504828,0.054891669109146876,-0.08059747251792167,0.8713782330722942,134.53
MSTR,Oct,0.01750798092216592,0.05277299489601701,4.412011192385812,0.8377453226096517,194.31
MSTR,Nov,0.026951979377659998,0.07167975199645228,6.791898803170319,1.13788078692839,340.65
MSTR,Dic,0.003147062282746071,0.0795077121779529,0.7930596952520098,1.26214580240739,408.5
NVDA,Ene,0.017486451671537492,0.021331853498749335,4.4065858212274485,0.33863267617052295,56.38
NVDA,Feb,0.012359375108327943,0.02096025372024584,3.1145625272986415,0.33273371256352136,72.66
NVDA,Mar,0.00948629754840824,0.04593771255311031,2.3905469821988765,0.7292385792881995,87.84
NVDA,Abr,-0.0014843776940354565,0.021705935363979963,-0.374063178896935,0.3445710416827995,86.0
NVDA,May,0.0037738314802368052,0.03821584542169759,0.9510055330196749,0.6066577387673888,94.63
NVDA,Jun,0.016738758183202807,0.03089932168489967,4.218167062167107,0.490511525152979,131.88
NVDA,Jul,-0.0010879316982552486,0.034936736152370605,-0.27415878796032267,0.5546034928767133,128.44
NVDA,Ago,0.001925981934473961,0.05167514834781692,0.4853474474874382,0.820317548944163,122.86
NVDA,Sep,-0.005644348821062672,0.040521393492351336,-1.4223759029077934,0.6432571797513164,116.78
NVDA,Oct,0.005689295049325017,0.024752651473448666,1.4337023524299042,0.3929361605292101,131.6
NVDA,Nov,0.0017245883936712943,0.02290721577070591,0.4345962752051662,0.3636407769491078,141.98
NVDA,Dic,-0.003153229211811913,0.02440834509186386,-0.7946137613766021,0.38747046616629466,132.0
PLTR,Ene,-0.00033558198602396457,0.02288540978782133,-0.08456666047803907,0.3632946177022722,16.53
PLTR,Feb,0.020879590694111144,0.06552180333821174,5.2616568549160085,1.04012638251234,25.41
PLTR,Mar,-0.003928399933062554,0.03500606310958851,-0.9899567831317637,0.5557040242044216,23.49
PLTR,Abr,-0.004819325975025826,0.021143662402341258,-1.2144701457065081,0.3356452351302089,21.9
PLTR,May,-0.0004592458097863223,0.04629209707069253,-0.11572994406615322,0.7348642591002844,21.67
PLTR,Jun,0.004248463124977042,0.021059851007611714,1.0706127074942144,0.3343147704852818,23.57
PLTR,Jul,0.007565320825361852,0.02891794273814013,1.9064608479911866,0.45905810947635006,28.67
PLTR,Ago,0.004810855650600851,0.04247112417269812,1.2123356239514145,0.6742081947738184,31.22
PLTR,Sep,0.005834373478450131,0.03414912004482507,1.4702621165694332,0.5421004747817881,36.31
PLTR,Oct,0.0074172606565709055,0.023628018369339004,1.8691496854558682,0.37508316347122145,42.43
PLTR,Nov,0.021356866144280524,0.055772659050748206,5.381930268358692,0.8853635148304528,65.77
PLTR,Dic,0.011174281209728947,0.029906959606949356,2.8159188648516946,0.4747582655402521,75.75
S,Ene,-0.004693371447444565,0.03595995557069244,-1.1827296047560303,0.5708465975819037,24.8
S,Feb,0.0095857392091313,0.025530566163380015,2.4156062807010876,0.40528517339390374,30.0
S,Mar,-0.015303618211506475,0.05642310402748337,-3.8565117892996317,0.8956890087302876,22.09
S,Abr,-0.005986488369006194,0.022355002735567456,-1.508595068989561,0.35487466677888063,20.67
S,May,0.003131639660760323,0.019419859130234782,0.7891731945116014,0.30828070652705003,22.31
S,Jun,-0.009156689727675693,0.039419019742995394,-2.3074858113742747,0.6257575389954663,18.46
S,Jul,0.009125206854666827,0.028290269447526953,2.2995521273760406,0.4490941048869898,21.72
S,Ago,0.004435886296322565,0.037460444784218734,1.1178433466732862,0.5946661254054566,23.16
S,Sep,-0.0012331711478097886,0.01925925101325431,-0.31075912924806676,0.3057311317106378,23.2
S,Oct,0.004891797266930178,0.03163505738734019,1.232732911266405,0.5021909673489532,25.71
S,Nov,0.00016442426793705778,0.02366374908266575,0.04143491552013856,0.3756503709609985,26.11
S,Dic,-0.004617576719275283,0.04212272164074325,-1.1636293332573715,0.6686774760396316,24.21
TSLA,Ene,-0.013544721152587869,0.019386783198633496,-3.413269730452143,0.30775564239065734,219.91
TSLA,Feb,-0.0034584791478394295,0.03710954572349089,-0.8715367452555363,0.5890957755056244,200.45
TSLA,Mar,-0.010166190290904088,0.02698610134689774,-2.5618799533078302,0.4283910781144597,163.57
TSLA,Abr,-0.0038696798340290186,0.028356552224110043,-0.9751593181753127,0.4501463113452641,161.48
TSLA,May,0.004859601397100859,0.04841849384169719,1.2246195520694165,0.768619761368659,173.99
TSLA,Jun,0.0008984229247114061,0.025803290011091867,0.22640257702727434,0.40961453025975697,178.01
TSLA,Jul,0.016583708683766178,0.039257179242586905,4.179094588309077,0.6231884006986317,252.64
TSLA,Ago,-0.007086325657455224,0.048517967927789195,-1.7857540656787165,0.7701988635308281,214.14
TSLA,Sep,0.0009507898630336286,0.03629015588593717,0.2395990454844744,0.5760883650837398,226.78
TSLA,Oct,-0.0015385379172594732,0.034317063905830975,-0.38771155514938727,0.5447665009244379,219.57
TSLA,Nov,0.01775731563264362,0.06309544359963994,4.4748435394261925,1.001609115755696,320.72
TSLA,Dic,0.016449336749188997,0.02913256473929211,4.145232860795628,0.462465128121937,463.02
